230,ALCO,3,151,35.919,-92.1272
231,ALCOA,43,2413,35.8158,-83.9877
232,ALCOLU,41,2310,33.6852,-80.1907
233,ALCOVE,35,1962,42.4825,-73.9367
234,ALDA,30,1828,40.8607,-98.5048
235,ALDEN,13,575,42.431,-93.3906
236,ALDEN,15,739,42.3248,-88.4525
237,ALDEN,17,950,38.2333,-98.3165
238,ALDEN,23,1218,44.9006,-85.2329
239,ALDEN,24,1320,43.7335,-93.5321
240,ALDEN,35,1976,42.8729,-78.5284
241,ALDENVILLE,39,2288,41.616,-75.2747
242,ALDER CREEK,35,1994,43.4196,-75.2248
243,ALDERPOINT,5,184,40.1305,-123.602
244,ALDERSON,50,3055,37.8439,-80.5724
245,ALDIE,46,2855,38.9577,-77.6038
246,ALDRICH,24,1376,46.3797,-94.9364
247,ALDRICH,25,1467,37.5348,-93.5432
248,ALEDO,15,742,41.1978,-90.7309
249,ALEDO,44,2684,32.6819,-97.7795
250,ALEPPO,39,2254,39.8706,-80.2113
251,ALEX,37,2137,34.9148,-97.7812
252,ALEXANDER,3,142,34.6945,-92.4251
253,ALEXANDER,13,568,42.8198,-93.4294
254,ALEXANDER,15,745,39.7517,-90.0458
255,ALEXANDER,17,953,38.4701,-99.5532
256,ALEXANDER,28,1646,35.628,-82.5567
257,ALEXANDER,29,1762,47.7374,-103.298
258,ALEXANDER,35,1980,42.9176,-78.2649
259,ALEXANDER CITY,2,77,32.9601,-85.8815
260,ALEXANDRIA,2,23,33.7809,-85.9045
261,ALEXANDRIA,16,826,40.2132,-85.6807
262,ALEXANDRIA,18,994,38.9216,-84.3746
263,ALEXANDRIA,19,1135,31.1892,-92.4749
264,ALEXANDRIA,24,1317,45.902,-95.4206
265,ALEXANDRIA,25,1406,40.3576,-91.4589
266,ALEXANDRIA,30,1873,40.2441,-97.3866
267,ALEXANDRIA,36,2068,40.1005,-82.6124
268,ALEXANDRIA,39,2255,40.5485,-78.0951
269,ALEXANDRIA,42,2372,43.6684,-97.7563
270,ALEXANDRIA,43,2429,36.0345,-85.9971
273,ALEXANDRIA BAY,35,1984,44.0746,-75.8407
274,ALEXIS,15,742,41.137,-90.6312
275,ALEXIS,28,1671,35.3653,-81.088
276,ALFORD,10,334,30.6412,-85.3756
277,ALFRED,22,1213,43.4672,-70.739
278,ALFRED,35,1963,42.2405,-77.7832
279,ALFRED STATION,35,1963,42.2541,-77.7993
280,ALGER,23,1278,44.3244,-84.1624
281,ALGER,36,2056,40.6792,-83.7956
282,ALGODONES,33,1938,35.3378,-106.393
283,ALGOMA,49,3001,44.596,-87.5403
284,ALGONA,13,588,43.1093,-94.167
285,ALGONAC,23,1287,42.615,-82.5978
286,ALGONQUIN,15,739,42.2807,-88.4619
287,ALHAMBRA,5,191,33.7866,-118.299
288,ALHAMBRA,15,733,38.8821,-89.7394
289,ALICE,44,2627,27.6817,-98.0338
290,ALICEVILLE,2,69,33.237,-88.0615
291,ALICIA,3,120,35.9521,-91.0301
292,ALINE,37,2113,36.5118,-98.4499
293,ALIQUIPPA,39,2228,40.6752,-80.3042
294,ALISO VIEJO,5,202,33.6035,-117.751
295,ALKOL,50,3064,38.1671,-81.9689
296,ALLARDT,43,2433,36.3818,-84.7756
297,ALLEDONIA,36,2030,39.8949,-80.9801
298,ALLEGAN,23,1216,42.5393,-85.8949
299,ALLEGANY,35,1966,42.1162,-78.5162
300,ALLEGHANY,5,218,39.4663,-120.83
301,ALLEGRE,18,1085,36.9292,-87.2193
302,ALLEMAN,13,610,41.8131,-93.6099
303,ALLEN,17,926,38.652,-96.1735
304,ALLEN,18,1011,37.4799,-82.6769
305,ALLEN,23,1243,41.9563,-84.7679
306,ALLEN,30,1814,42.4453,-96.8844
307,ALLEN,37,2173,34.8691,-96.4151
308,ALLEN,42,2345,43.1932,-101.669
309,ALLEN,44,2546,33.1633,-96.662
310,ALLEN PARK,23,1295,42.2763,-83.1944
311,ALLENDALE,15,769,38.5276,-87.7063
312,ALLENDALE,23,1283,42.9795,-85.9393
313,ALLENDALE,32,1893,41.0174,-74.0628
