304,HARALSON,10,33.7874,-85.2262
305,LINCOLN,47,47.5756,-118.345
306,BALDWIN,10,33.0607,-83.237
307,UNION,41,42.7412,-96.6287
308,CROOK,37,44.1533,-120.452
309,SUSSEX,31,41.121,-74.6809
310,GRAYS HARBOR,47,47.1145,-123.816
311,SCHLEY,10,32.209,-84.2771
312,BRISTOL,19,41.7941,-71.0973
313,HUMBOLDT,33,41.2831,-117.917
314,NORTH SLOPE,1,67.7513,-155.099
315,TILLAMOOK,37,45.4227,-123.887
316,EDWARDS,43,29.9341,-100.182
317,SCOTT,16,38.4823,-100.906
318,TWIN FALLS,13,42.4478,-114.544
319,WORCESTER,19,42.3151,-71.8962
320,MADISON,45,38.4176,-78.2861
321,WESTCHESTER,34,41.1166,-73.7752
322,PARKER,43,32.8025,-97.8231
323,ULSTER,34,41.8807,-74.1765
324,WAKE,27,35.7997,-78.6351
325,EAGLE,6,39.6535,-106.645
326,KEMPER,25,32.8188,-88.6321
327,PITKIN,6,39.2381,-106.844
328,WARE,10,31.1551,-82.4608
329,JEFFERSON,12,41.0201,-91.9949
330,KINGFISHER,36,35.9189,-97.8935
331,KANKAKEE,14,41.1329,-87.9145
332,HUERFANO,6,37.6645,-105.092
333,MERRICK,29,41.1836,-98.0084
334,SWEETWATER,50,41.7158,-108.987
335,JEFFERSON,34,44.027,-75.9404
336,BON HOMME,41,42.9661,-97.8351
337,CARTER,17,38.2912,-83.0829
338,LANE,37,43.9985,-123.151
339,WAGONER,36,35.9461,-95.5117
340,LAKE,37,42.7872,-120.444
341,LOS ALAMOS,32,35.8567,-106.292
342,COLUMBIA,34,42.2871,-73.6278
343,WAYNE,17,36.8339,-84.8219
344,CARROLL,25,33.4852,-89.9109
345,PITT,27,35.5967,-77.3897
346,DENT,24,37.6111,-91.5194
347,BENTON,47,46.1402,-119.409
348,FAIRFIELD,40,34.3521,-81.1268
349,ONTARIO,34,42.8921,-77.2852
350,SHAWNEE,16,39.0356,-95.7535
351,CLAY,9,29.9843,-81.8459
352,JEFFERSON,18,29.7865,-90.1158
353,FRANKLIN,21,44.8183,-70.2728
354,WALTON,9,30.6701,-86.1756
355,VAN WERT,35,40.8381,-84.6131
356,POTTER,41,45.1427,-99.8764
357,PRAIRIE,3,34.7582,-91.5306
358,NANCE,29,41.4441,-97.9002
359,SEMINOLE,10,30.9517,-84.851
360,SAN LUIS OBISPO,5,35.3977,-120.604
361,WASHINGTON,10,32.9381,-82.7878
362,CASS,28,46.9226,-97.1619
363,JEFFERSON,2,33.5411,-86.8802
364,COLLIN,43,33.1664,-96.5998
365,CRAWFORD,24,37.9424,-91.3218
366,MCMULLEN,43,28.3505,-98.5688
367,MARTIN,43,32.255,-101.872
368,ALLEGHANY,45,37.7944,-79.8364
369,PROWERS,6,38.0183,-102.412
370,TIFT,10,31.4638,-83.5332
371,JASPER,40,32.377,-81.0125
372,CATRON,32,33.7655,-108.583
373,ELBERT,6,39.2779,-104.246
374,OTERO,32,32.8648,-105.76
375,BENTON,15,40.5794,-87.3063
376,CONVERSE,50,42.8687,-105.346
377,COLFAX,32,36.5407,-104.853
378,LYNCHBURG CITY,45,37.3954,-79.1784
379,CHESHIRE,30,42.9219,-72.255
380,PRENTISS,25,34.5925,-88.5033
381,NEWTON,24,36.8905,-94.2853
382,CARBON,44,39.6022,-110.606
383,GRANT,3,34.2591,-92.493
384,TIOGA,34,42.1552,-76.3389
385,LAMAR,25,31.1817,-89.512
386,BERKSHIRE,19,42.339,-73.2198
387,CODINGTON,41,44.9949,-97.2102
388,BELL,43,31.0321,-97.477
389,HODGEMAN,16,38.0727,-99.8016
390,CAMPBELL,45,37.2077,-79.1415
391,BAKER,37,44.6857,-117.627
392,LOGAN,36,35.9604,-97.4121
393,WEBSTER,29,40.2181,-98.4755
394,SOMERVELL,43,32.2432,-97.7205
395,PONDERA,26,48.2126,-112.19
396,KERR,43,30.0462,-99.2267
397,HOT SPRINGS,50,43.7833,-108.34
398,COCONINO,4,35.7231,-111.822
399,NORTHAMPTON,45,37.3612,-75.9118
400,POLK,3,34.4246,-94.2762
401,ALAMOSA,6,37.5715,-105.83
402,HARPER,16,37.1865,-98.0183
403,BARBER,16,37.2369,-98.624
404,RED RIVER,43,33.587,-95.0469
405,CAMERON,43,26.1328,-97.5905
406,BELMONT,35,40.0474,-80.9269
407,ORANGE,45,38.2466,-78.0485
408,HORRY,40,33.8507,-78.9411
409,FANNIN,10,34.8993,-84.3379
410,BOND,14,38.912,-89.4343
411,MARSHALL,14,41.0174,-89.3054
412,CASTRO,43,34.5506,-102.246
413,MINERAL,33,38.6047,-118.514
414,ELMORE,2,32.6021,-86.1778
415,WASHINGTON,15,38.5508,-86.1366
416,FULTON,38,39.9424,-78.1095
417,RANDOLPH,24,39.4261,-92.4459
418,TROUP,10,33.0293,-85.0237
419,FALL RIVER,41,43.2514,-103.531
420,PIKE,14,39.6242,-90.8336
421,SAINT CLAIR,24,38.0539,-93.7375
422,SUMTER,9,28.7544,-82.0835
423,CLARK,41,44.8449,-97.7522
424,SHELBY,24,39.772,-92.0851
425,SAN SABA,43,31.1593,-98.7822
426,HAYS,43,30.0577,-97.9857
427,MONTGOMERY,25,33.5077,-89.581
428,SCOTT,42,36.4337,-84.5205
429,TUCKER,49,39.1196,-79.5533
430,FRANKLIN,17,38.2335,-84.8742
431,WICHITA,43,33.9455,-98.5829
432,BROWN,16,39.7827,-95.5862
433,HOOKER,29,42.0421,-101.045
434,SHERMAN,16,39.3633,-101.753
435,LAFAYETTE,3,33.2973,-93.5417
436,OSAGE,36,36.5333,-96.3905
437,LEON,43,31.2889,-96.0307
438,YORK,45,37.2005,-76.4794
439,JASPER,12,41.6697,-93.0754
440,RICHLAND,14,38.7043,-88.0712
441,BREVARD,9,28.2417,-80.6846
442,BERRIEN,10,31.2713,-83.2559
443,PAGE,45,38.6235,-78.4969
444,LINCOLN,10,33.8127,-82.4535
445,JEWELL,16,39.7745,-98.1541
446,SUFFOLK,34,40.8708,-72.8607
447,WARREN,25,32.3901,-90.8314
448,HOT SPRING,3,34.3087,-93.0209
449,CHRISTIAN,14,39.5353,-89.3116
450,MIDDLESEX,31,40.472,-74.3948
